"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/06/2022","1,817.11","1,819.95","1,833.24","1,812.10","","-0.14%"
"28/06/2022","1,819.69","1,822.85","1,830.09","1,818.20","","-0.17%"
"27/06/2022","1,822.73","1,838.15","1,841.34","1,820.40","","-0.19%"
"24/06/2022","1,826.18","1,822.88","1,832.15","1,816.70","","0.21%"
"23/06/2022","1,822.43","1,837.87","1,846.19","1,821.88","","-0.81%"
"22/06/2022","1,837.39","1,832.96","1,848.44","1,823.23","","0.26%"
"21/06/2022","1,832.56","1,838.37","1,844.15","1,828.29","","-0.31%"
"20/06/2022","1,838.29","1,840.40","1,846.42","1,834.49","","-0.06%"
"17/06/2022","1,839.35","1,857.34","1,858.29","1,833.72","","-0.93%"
"16/06/2022","1,856.71","1,833.99","1,857.91","1,815.95","","1.27%"
"15/06/2022","1,833.38","1,808.35","1,841.74","1,807.24","","1.40%"
"14/06/2022","1,808.10","1,819.10","1,832.19","1,804.65","","-0.59%"
"13/06/2022","1,818.77","1,875.80","1,877.38","1,818.90","","-2.79%"
"10/06/2022","1,870.96","1,848.09","1,876.47","1,825.02","","1.26%"
"09/06/2022","1,847.61","1,853.53","1,855.52","1,839.60","","-0.30%"
"08/06/2022","1,853.26","1,852.51","1,859.90","1,844.35","","0.07%"
"07/06/2022","1,851.97","1,841.60","1,855.86","1,836.73","","0.60%"
"06/06/2022","1,841.00","1,850.29","1,858.15","1,840.50","","-0.53%"
"03/06/2022","1,850.77","1,868.53","1,874.30","1,847.02","","-0.93%"
"02/06/2022","1,868.13","1,846.44","1,870.69","1,843.76","","1.22%"
"01/06/2022","1,845.55","1,837.37","1,850.40","1,828.28","","0.46%"
"31/05/2022","1,837.09","1,856.40","1,857.69","1,834.90","","-1.03%"
"30/05/2022","1,856.21","1,852.19","1,864.34","1,847.92","","0.19%"
"27/05/2022","1,852.73","1,850.48","1,862.30","1,847.76","","0.16%"
"26/05/2022","1,849.82","1,853.48","1,854.71","1,841.14","","-0.16%"
"25/05/2022","1,852.83","1,865.09","1,868.40","1,842.94","","-0.70%"
"24/05/2022","1,865.90","1,853.59","1,869.99","1,849.06","","0.68%"
"23/05/2022","1,853.22","1,846.53","1,865.65","1,844.08","","0.41%"
"20/05/2022","1,845.68","1,842.12","1,849.59","1,832.35","","0.22%"
"19/05/2022","1,841.72","1,816.60","1,849.46","1,810.55","","1.44%"
"18/05/2022","1,815.61","1,815.20","1,825.02","1,807.30","","0.05%"
"17/05/2022","1,814.67","1,824.18","1,836.55","1,812.68","","-0.50%"
"16/05/2022","1,823.79","1,811.05","1,827.23","1,786.95","","0.70%"
"13/05/2022","1,811.15","1,822.48","1,829.06","1,799.24","","-0.58%"
"12/05/2022","1,821.65","1,852.58","1,859.30","1,820.93","","-1.65%"
"11/05/2022","1,852.12","1,838.41","1,857.99","1,831.83","","0.76%"
"10/05/2022","1,838.14","1,853.74","1,865.76","1,835.46","","-0.85%"
"09/05/2022","1,853.92","1,883.80","1,885.95","1,851.36","","-1.54%"
"06/05/2022","1,882.96","1,877.30","1,892.93","1,865.84","","0.32%"
"05/05/2022","1,877.01","1,881.47","1,910.03","1,872.48","","-0.22%"
"04/05/2022","1,881.21","1,868.04","1,889.74","1,861.17","","0.72%"
"03/05/2022","1,867.79","1,863.05","1,878.19","1,850.33","","0.27%"
"02/05/2022","1,862.77","1,896.09","1,900.10","1,854.74","","-1.77%"
"29/04/2022","1,896.40","1,894.43","1,919.97","1,892.25","","0.11%"
"28/04/2022","1,894.34","1,886.14","1,897.32","1,872.19","","0.46%"
"27/04/2022","1,885.74","1,905.45","1,907.25","1,881.39","","-1.04%"
"26/04/2022","1,905.56","1,897.95","1,911.50","1,895.38","","0.41%"
"25/04/2022","1,897.69","1,931.09","1,934.71","1,891.05","","-1.66%"
"22/04/2022","1,929.73","1,951.49","1,955.93","1,926.52","","-1.12%"
"21/04/2022","1,951.49","1,957.84","1,958.00","1,936.79","","-0.30%"
"20/04/2022","1,957.41","1,950.34","1,958.57","1,939.16","","0.39%"
"19/04/2022","1,949.84","1,979.19","1,982.31","1,943.80","","-1.45%"
"18/04/2022","1,978.50","1,972.84","1,998.60","1,971.05","","0.20%"
"15/04/2022","1,974.54","1,974.28","1,975.69","1,973.05","","0.05%"
"14/04/2022","1,973.52","1,977.78","1,980.81","1,960.90","","-0.21%"
"13/04/2022","1,977.72","1,967.21","1,981.82","1,962.59","","0.57%"
"12/04/2022","1,966.59","1,953.99","1,978.63","1,949.48","","0.67%"
"11/04/2022","1,953.43","1,947.15","1,969.41","1,940.05","","0.39%"
"08/04/2022","1,945.85","1,931.92","1,948.46","1,927.38","","0.71%"
"07/04/2022","1,932.17","1,925.32","1,938.07","1,920.27","","0.36%"
"06/04/2022","1,925.32","1,923.69","1,933.65","1,915.24","","0.09%"
"05/04/2022","1,923.53","1,933.38","1,944.73","1,917.74","","-0.46%"
"04/04/2022","1,932.44","1,924.94","1,937.05","1,915.55","","0.42%"
"01/04/2022","1,924.30","1,937.51","1,939.99","1,917.56","","-0.67%"
"31/03/2022","1,937.23","1,932.80","1,949.92","1,918.98","","0.22%"
"30/03/2022","1,933.06","1,920.07","1,938.53","1,915.74","","0.72%"
"29/03/2022","1,919.19","1,922.95","1,929.41","1,890.03","","-0.21%"
"28/03/2022","1,923.20","1,958.75","1,959.36","1,916.83","","-1.75%"
"25/03/2022","1,957.40","1,957.49","1,964.49","1,943.55","","0.00%"
"24/03/2022","1,957.48","1,944.88","1,966.19","1,937.18","","0.72%"
"23/03/2022","1,943.42","1,922.35","1,948.55","1,915.32","","1.14%"
"22/03/2022","1,921.44","1,935.86","1,938.59","1,910.89","","-0.75%"
"21/03/2022","1,935.95","1,922.24","1,940.69","1,918.01","","0.77%"
"18/03/2022","1,921.09","1,942.90","1,945.51","1,917.93","","-1.11%"
"17/03/2022","1,942.64","1,927.56","1,950.10","1,923.40","","0.76%"
"16/03/2022","1,927.93","1,918.10","1,929.87","1,895.22","","0.53%"
"15/03/2022","1,917.84","1,951.02","1,954.95","1,906.73","","-1.71%"
"14/03/2022","1,951.11","1,985.49","1,990.33","1,949.87","","-1.72%"
"11/03/2022","1,985.29","1,996.15","1,999.22","1,958.80","","-0.53%"
"10/03/2022","1,995.86","1,991.94","2,009.57","1,970.66","","0.22%"
"09/03/2022","1,991.49","2,052.75","2,059.25","1,976.30","","-2.97%"
"08/03/2022","2,052.41","1,998.30","2,070.29","1,981.00","","2.72%"
"07/03/2022","1,998.11","1,977.09","2,002.90","1,960.76","","1.51%"
"04/03/2022","1,968.45","1,935.65","1,970.80","1,929.78","","1.72%"
"03/03/2022","1,935.21","1,926.49","1,941.47","1,921.73","","0.47%"
"02/03/2022","1,926.11","1,943.69","1,948.18","1,913.82","","-0.88%"
"01/03/2022","1,943.22","1,908.19","1,950.45","1,900.93","","1.85%"
"28/02/2022","1,907.90","1,920.86","1,929.36","1,890.59","","1.08%"
"25/02/2022","1,887.56","1,903.55","1,921.54","1,883.10","","-0.82%"
"24/02/2022","1,903.14","1,907.99","1,974.48","1,879.05","","-0.23%"
