Date,tas
7/1924,26.5077
8/1924,26.8958
9/1924,26.8418
10/1924,24.6827
11/1924,22.9255
12/1924,20.0691
1/1925,18.9411
2/1925,19.2842
3/1925,21.9655
4/1925,23.7746
5/1925,26.9247
6/1925,26.9689
7/1925,27.1998
8/1925,27.2379
9/1925,26.3273
10/1925,24.1456
11/1925,23.0768
12/1925,19.7553
1/1926,20.0756
2/1926,20.6115
3/1926,22.0303
4/1926,26.0876
5/1926,27.571
6/1926,27.0669
7/1926,27.279
8/1926,26.6134
9/1926,26.5832
10/1926,23.9948
11/1926,22.8009
12/1926,20.6531
1/1927,19.9111
2/1927,20.4462
3/1927,21.9545
4/1927,24.5236
5/1927,26.5067
6/1927,27.1421
7/1927,27.1265
8/1927,27.0664
9/1927,25.8663
10/1927,24.4299
11/1927,23.2177
12/1927,21.5092
1/1928,21.6696
2/1928,19.9237
3/1928,23.2143
4/1928,25.4788
5/1928,27.3239
6/1928,26.9926
7/1928,27.3613
8/1928,27.1713
9/1928,26.4035
10/1928,23.1739
11/1928,21.6339
12/1928,21.6945
1/1929,21.1592
2/1929,21.159
3/1929,21.7178
4/1929,24.7681
5/1929,28.0372
6/1929,27.5993
7/1929,27.1015
8/1929,27.1095
9/1929,26.1626
10/1929,24.8516
11/1929,21.9665
12/1929,21.83
1/1930,17.9775
2/1930,20.843
3/1930,21.1637
4/1930,26.5406
5/1930,26.97
6/1930,27.5333
7/1930,27.3791
8/1930,27.0379
9/1930,25.8204
10/1930,24.8271
11/1930,23.0156
12/1930,21.3176
1/1931,20.7358
2/1931,22.4036
3/1931,23.5093
4/1931,27.3651
5/1931,27.9734
6/1931,28.2249
7/1931,27.3724
8/1931,27.4723
9/1931,26.1062
10/1931,23.3562
11/1931,22.1705
12/1931,20.6232
1/1932,18.9438
2/1932,19.4223
3/1932,21.1113
4/1932,25.7433
5/1932,28.1548
6/1932,27.6412
7/1932,26.9798
8/1932,27.345
9/1932,25.5666
10/1932,24.0112
11/1932,22.6985
12/1932,19.7984
1/1933,17.8952
2/1933,21.1641
3/1933,22.0227
4/1933,26.629
5/1933,27.1658
6/1933,27.8508
7/1933,27.0913
8/1933,27.0242
9/1933,26.472
10/1933,24.3924
11/1933,22.1385
12/1933,21.6002
1/1934,17.9604
2/1934,20.708
3/1934,21.8809
4/1934,24.4243
5/1934,27.2684
6/1934,27.1547
7/1934,26.9375
8/1934,26.9232
9/1934,26.5738
10/1934,23.4867
11/1934,22.6142
12/1934,20.825
1/1935,20.4565
2/1935,21.6425
3/1935,23.2669
4/1935,25.8311
5/1935,27.0002
6/1935,27.4898
7/1935,27.2227
8/1935,27.0409
9/1935,25.6769
10/1935,25.4572
11/1935,23.4926
12/1935,19.6739
1/1936,18.4575
2/1936,20.9412
3/1936,20.1724
4/1936,25.834
5/1936,26.8647
6/1936,27.1557
7/1936,27.0363
8/1936,26.7778
9/1936,25.8206
10/1936,23.6201
11/1936,23.2127
12/1936,21.5663
1/1937,20.2019
2/1937,21.2271
3/1937,23.4146
4/1937,26.1427
5/1937,26.7551
6/1937,27.1068
7/1937,26.9922
8/1937,26.7505
9/1937,26.1223
10/1937,24.8498
11/1937,22.7203
12/1937,21.4383
1/1938,20.319
2/1938,20.8241
3/1938,21.4985
4/1938,25.4814
5/1938,26.379
6/1938,27.2996
7/1938,26.5803
8/1938,26.6128
9/1938,26.1981
10/1938,24.6157
11/1938,22.0246
12/1938,21.2453
1/1939,19.985
2/1939,21.2525
3/1939,22.6728
4/1939,24.6746
5/1939,26.7349
6/1939,26.9823
7/1939,27.154
8/1939,26.8794
9/1939,25.7482
10/1939,24.9427
11/1939,23.3696
12/1939,18.3399
1/1940,18.6491
2/1940,21.0729
3/1940,22.2624
4/1940,24.9987
5/1940,26.7184
6/1940,27.4059
7/1940,27.4297
8/1940,26.715
9/1940,26.6463
10/1940,25.4413
11/1940,22.9433
12/1940,22.018
1/1941,22.4625
2/1941,22.5177
3/1941,22.9915
4/1941,25.7081
5/1941,27.1145
6/1941,27.0946
7/1941,27.5476
8/1941,26.8881
9/1941,25.8418
10/1941,24.4897
11/1941,22.7154
12/1941,21.4047
1/1942,20.2217
2/1942,21.5084
3/1942,23.2954
4/1942,25.4654
5/1942,26.8614
6/1942,27.2278
7/1942,26.8383
8/1942,26.5821
9/1942,26.4685
10/1942,24.9388
11/1942,23.3327
12/1942,20.6908
1/1943,19.192
2/1943,20.5195
3/1943,22.7081
4/1943,24.8667
5/1943,27.0865
6/1943,27.258
7/1943,27.106
8/1943,26.5918
9/1943,26.3345
10/1943,25.2382
11/1943,22.4729
12/1943,20.4722
1/1944,20.6727
2/1944,21.0461
3/1944,22.7601
4/1944,25.9034
5/1944,26.3863
6/1944,27.0021
7/1944,27.2214
8/1944,26.6545
9/1944,26.3151
10/1944,24.4527
11/1944,22.7925
12/1944,18.2164
1/1945,19.1859
2/1945,19.2883
3/1945,21.8852
4/1945,25.0775
5/1945,26.1077
6/1945,27.4587
7/1945,27.3159
8/1945,26.8971
9/1945,26.4633
10/1945,23.8965
11/1945,23.7971
12/1945,20.5451
1/1946,20.2428
2/1946,21.4644
3/1946,23.1751
4/1946,26.0307
5/1946,26.6991
6/1946,27.5713
7/1946,26.7619
8/1946,26.7645
9/1946,26.3062
10/1946,24.3957
11/1946,23.0802
12/1946,21.1434
1/1947,21.6732
2/1947,20.4248
3/1947,22.0653
4/1947,24.2624
5/1947,27.3209
6/1947,27.049
7/1947,26.914
8/1947,27.015
9/1947,26.1897
10/1947,24.2199
11/1947,22.4661
12/1947,20.3134
1/1948,19.8484
2/1948,21.743
3/1948,22.9013
4/1948,25.3576
5/1948,26.8326
6/1948,27.5233
7/1948,26.8977
8/1948,26.952
9/1948,26.205
10/1948,24.7128
11/1948,21.298
12/1948,21.6611
1/1949,19.2245
2/1949,21.3711
3/1949,22.3166
4/1949,25.0459
5/1949,27.0106
6/1949,27.4209
7/1949,27.2946
8/1949,27.0517
9/1949,26.4437
10/1949,24.8744
11/1949,22.7852
12/1949,20.9925
1/1950,20.7413
2/1950,20.1045
3/1950,22.9506
4/1950,25.0293
5/1950,26.8836
6/1950,26.8378
7/1950,26.9538
8/1950,26.738
9/1950,25.997
10/1950,24.6382
11/1950,22.5099
12/1950,19.4495
1/1951,19.2228
2/1951,20.9909
3/1951,21.3759
4/1951,25.2727
5/1951,26.6115
6/1951,26.5565
7/1951,26.8675
8/1951,26.9314
9/1951,26.1106
10/1951,24.6268
11/1951,22.8152
12/1951,20.7377
1/1952,20.1246
2/1952,21.6591
3/1952,22.7164
4/1952,25.525
5/1952,27.6431
6/1952,27.3131
7/1952,27.0279
8/1952,26.6112
9/1952,25.7729
10/1952,24.5097
11/1952,23.0735
12/1952,19.0405
1/1953,20.0347
2/1953,20.9042
3/1953,22.8064
4/1953,24.616
5/1953,26.6252
6/1953,26.9854
7/1953,27.3183
8/1953,27.165
9/1953,25.6858
10/1953,25.5259
11/1953,22.8096
12/1953,20.5556
1/1954,21.3148
2/1954,21.1919
3/1954,20.7459
4/1954,25.8799
5/1954,26.816
6/1954,27.2678
7/1954,27.6029
8/1954,26.862
9/1954,25.8635
10/1954,24.2166
11/1954,22.4526
12/1954,19.1727
1/1955,17.7019
2/1955,21.6682
3/1955,22.7183
4/1955,24.6367
5/1955,27.1476
6/1955,26.7044
7/1955,26.9616
8/1955,26.4414
9/1955,26.414
10/1955,24.4321
11/1955,21.1205
