"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"16/09/2022","19,755.5","19,717.0","19,818.0","19,603.0","4.06K","0.20%"
"15/09/2022","19,717.0","20,231.0","20,329.0","19,556.0","4.23K","-2.54%"
"14/09/2022","20,231.0","20,181.0","20,511.0","19,642.0","8.26K","0.25%"
"13/09/2022","20,181.0","22,395.0","22,746.0","19,950.0","16.06K","-9.89%"
"12/09/2022","22,395.0","21,850.0","22,473.0","21,561.0","7.84K","2.61%"
"11/09/2022","21,826.0","21,657.0","21,826.0","21,369.0","2.23K","0.82%"
"10/09/2022","21,648.0","21,375.0","21,802.0","21,143.8","5.36K","1.28%"
"09/09/2022","21,375.0","19,322.0","21,576.0","19,304.4","11.99K","10.63%"
"08/09/2022","19,322.0","19,280.0","19,447.0","19,048.0","8.22K","0.22%"
"07/09/2022","19,279.5","18,790.0","19,457.0","18,561.0","6.19K","2.61%"
"06/09/2022","18,790.0","19,789.0","20,183.0","18,691.8","12.12K","-5.04%"
"05/09/2022","19,788.0","20,002.0","20,045.0","19,646.0","2.25K","-1.07%"
"04/09/2022","20,002.0","19,835.0","20,020.0","19,590.0","2.04K","0.84%"
"03/09/2022","19,835.0","19,973.0","20,061.9","19,667.0","1.65K","-0.69%"
"02/09/2022","19,973.0","20,134.0","20,441.0","19,770.0","6.30K","-0.80%"
"01/09/2022","20,134.0","20,058.0","20,212.0","19,587.0","5.94K","0.38%"
"31/08/2022","20,058.0","19,812.0","20,483.0","19,812.0","4.64K","1.24%"
"30/08/2022","19,812.0","20,308.0","20,574.0","19,574.0","5.33K","-2.44%"
"29/08/2022","20,308.0","19,572.0","20,412.0","19,566.3","4.13K","3.84%"
"28/08/2022","19,557.8","20,044.0","20,163.0","19,540.0","3.23K","-2.39%"
"27/08/2022","20,036.0","20,257.9","20,362.0","19,852.0","2.55K","-1.10%"
"26/08/2022","20,257.9","21,563.1","21,866.0","20,134.0","11.23K","-6.05%"
"25/08/2022","21,563.1","21,365.6","21,809.0","21,320.0","3.22K","0.92%"
"24/08/2022","21,365.6","21,527.0","21,861.0","21,160.0","5.41K","-0.75%"
"23/08/2022","21,527.0","21,395.0","21,671.0","20,909.0","4.92K","0.62%"
"22/08/2022","21,395.0","21,511.7","21,527.0","20,910.0","3.44K","-0.53%"
"21/08/2022","21,510.0","21,141.0","21,772.9","21,076.6","2.31K","1.75%"
"20/08/2022","21,141.0","20,835.0","21,366.0","20,769.0","2.04K","1.45%"
"19/08/2022","20,839.0","23,196.7","23,204.0","20,793.0","9.53K","-10.16%"
"18/08/2022","23,196.7","23,335.0","23,599.0","23,124.0","3.02K","-0.59%"
"17/08/2022","23,335.0","23,856.0","24,433.0","23,180.0","6.13K","-2.18%"
"16/08/2022","23,856.0","24,094.0","24,234.1","23,686.0","2.77K","-0.99%"
"15/08/2022","24,094.0","24,300.0","25,203.0","23,776.0","8.93K","-0.85%"
"14/08/2022","24,300.0","24,425.0","25,003.0","24,151.0","2.74K","-0.51%"
"13/08/2022","24,425.0","24,395.2","24,880.0","24,307.0","4.05K","0.12%"
"12/08/2022","24,395.2","23,931.5","24,441.0","23,603.0","3.56K","1.94%"
"11/08/2022","23,931.5","23,954.2","24,877.0","23,861.0","5.88K","-0.09%"
"10/08/2022","23,954.2","23,142.0","24,215.0","22,665.0","8.78K","3.51%"
"09/08/2022","23,141.0","23,817.0","23,912.0","22,888.0","4.07K","-2.84%"
"08/08/2022","23,817.0","23,177.9","24,224.0","23,164.0","2.90K","2.76%"
"07/08/2022","23,177.9","22,924.0","23,397.0","22,837.0","2.15K","1.11%"
"06/08/2022","22,924.0","23,311.0","23,341.3","22,903.0","1.26K","-1.66%"
"05/08/2022","23,311.0","22,611.7","23,462.0","22,596.0","7.08K","3.09%"
"04/08/2022","22,611.7","22,813.9","23,210.1","22,390.0","4.60K","-0.89%"
"03/08/2022","22,813.9","22,986.0","23,626.6","22,684.0","4.75K","-0.74%"
"02/08/2022","22,984.0","23,259.0","23,438.9","22,676.0","4.22K","-1.18%"
"01/08/2022","23,259.0","23,294.0","23,499.0","22,882.0","5.57K","-0.15%"
"31/07/2022","23,294.0","23,639.0","24,211.0","23,233.0","3.15K","-1.46%"
"30/07/2022","23,639.0","23,764.0","24,641.0","23,520.0","4.30K","-0.53%"
"29/07/2022","23,764.0","23,851.6","24,426.0","23,456.0","5.03K","-0.37%"
"28/07/2022","23,851.6","22,951.0","24,172.0","22,601.0","6.63K","3.92%"
"27/07/2022","22,951.0","21,271.0","23,098.0","21,056.0","7.47K","7.90%"
"26/07/2022","21,271.0","21,302.6","21,329.0","20,738.0","4.43K","-0.15%"
"25/07/2022","21,302.6","22,579.2","22,663.3","21,262.0","4.42K","-5.65%"
"24/07/2022","22,579.2","22,446.0","23,001.0","22,262.0","2.34K","0.59%"
"23/07/2022","22,446.0","22,675.9","22,993.0","21,949.0","2.69K","-1.01%"
"22/07/2022","22,675.9","23,151.8","23,729.0","22,517.0","5.07K","-2.06%"
"21/07/2022","23,151.8","23,209.0","23,409.0","22,350.0","8.12K","-0.25%"
"20/07/2022","23,209.0","23,398.0","24,276.0","22,915.0","8.44K","-0.81%"
"19/07/2022","23,398.0","22,476.0","23,783.0","21,599.0","10.21K","4.10%"
"18/07/2022","22,476.0","20,781.0","22,749.0","20,763.0","8.52K","8.16%"
"17/07/2022","20,781.0","21,224.0","21,666.0","20,751.0","3.17K","-2.09%"
"16/07/2022","21,224.0","20,820.0","21,590.0","20,477.0","3.40K","1.96%"
"15/07/2022","20,816.0","20,582.0","21,190.0","20,375.7","3.59K","1.16%"
"14/07/2022","20,578.0","20,246.0","20,880.0","19,647.0","6.06K","1.64%"
"13/07/2022","20,246.0","19,310.5","20,282.7","18,926.8","12.00K","4.84%"
"12/07/2022","19,310.5","19,945.0","20,038.2","19,243.9","6.78K","-3.18%"
"11/07/2022","19,945.0","20,854.6","20,865.2","19,876.0","6.61K","-4.36%"
"10/07/2022","20,854.6","21,575.8","21,590.1","20,678.0","2.88K","-3.34%"
"09/07/2022","21,575.8","21,600.0","21,967.0","21,335.5","2.20K","-0.11%"
"08/07/2022","21,600.0","21,620.0","22,405.0","21,198.0","11.60K","-0.09%"
"07/07/2022","21,620.0","20,557.1","21,809.0","20,253.0","5.60K","5.17%"
"06/07/2022","20,557.1","20,169.0","20,665.6","19,765.2","4.32K","1.92%"
"05/07/2022","20,169.0","20,224.0","20,723.0","19,290.0","4.45K","-0.27%"
"04/07/2022","20,224.0","19,308.8","20,318.0","19,056.6","3.55K","4.74%"
