Date,Price
03/12/2017,48.78
03/05/2017,48.49
02/26/2017,53.33
02/19/2017,53.99
02/12/2017,53.4
02/05/2017,53.86
01/29/2017,53.83
01/22/2017,53.17
01/15/2017,52.42
01/08/2017,52.37
01/01/2017,53.99
