"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/04/2022","102.07","104.07","104.22","101.06","246.12K","-1.66%"
"21/04/2022","103.79","102.50","105.42","102.01","280.32K","1.01%"
"20/04/2022","102.75","103.05","104.16","100.70","17.02K","0.19%"
"19/04/2022","102.56","107.75","108.92","102.10","71.79K","-5.22%"
"18/04/2022","108.21","107.03","109.81","106.00","68.49K","1.18%"
"14/04/2022","106.95","104.20","107.64","102.12","244.95K","2.59%"
"13/04/2022","104.25","100.91","104.47","99.87","312.50K","3.63%"
"12/04/2022","100.60","95.17","101.35","94.84","329.04K","6.69%"
"11/04/2022","94.29","98.40","98.52","92.93","315.87K","-4.04%"
"08/04/2022","98.26","97.17","98.76","95.29","310.08K","2.32%"
"07/04/2022","96.03","97.16","98.82","93.81","367.32K","-0.21%"
"06/04/2022","96.23","101.24","104.02","95.73","366.04K","-5.62%"
"05/04/2022","101.96","103.66","105.59","99.88","280.28K","-1.28%"
"04/04/2022","103.28","98.95","103.94","98.05","288.13K","4.04%"
"01/04/2022","99.27","101.23","101.75","97.78","324.78K","-1.01%"
"31/03/2022","100.28","107.45","107.80","99.66","450.85K","-6.99%"
"30/03/2022","107.82","105.24","108.75","104.55","284.54K","3.43%"
"29/03/2022","104.24","103.47","107.84","98.44","387.20K","-1.62%"
"28/03/2022","105.96","112.92","112.93","102.83","372.25K","-6.97%"
"25/03/2022","113.90","111.75","114.12","108.68","320.30K","1.39%"
"24/03/2022","112.34","114.47","116.64","110.61","307.24K","-2.25%"
"23/03/2022","114.93","108.85","115.40","108.38","289.18K","2.84%"
"22/03/2022","111.76","112.90","115.01","109.30","22.94K","-0.32%"
"21/03/2022","112.12","105.13","112.69","104.08","77.22K","7.09%"
"18/03/2022","104.70","103.62","106.28","102.30","74.25K","1.67%"
"17/03/2022","102.98","95.34","104.24","94.85","210.76K","8.35%"
"16/03/2022","95.04","95.23","99.22","94.07","293.95K","-1.45%"
"15/03/2022","96.44","102.28","102.58","93.53","401.69K","-6.38%"
"14/03/2022","103.01","109.42","109.72","99.76","344.18K","-5.78%"
"11/03/2022","109.33","105.99","110.29","104.48","368.19K","3.12%"
"10/03/2022","106.02","110.41","114.88","105.53","437.92K","-2.47%"
"09/03/2022","108.70","124.66","126.84","103.63","594.77K","-12.13%"
"08/03/2022","123.70","120.67","129.44","117.07","583.11K","3.60%"
"07/03/2022","119.40","121.33","130.50","115.54","576.02K","3.22%"
"04/03/2022","115.68","107.96","116.02","107.25","493.88K","7.44%"
"03/03/2022","107.67","111.33","116.57","106.43","592.03K","-2.65%"
