,Date,Price
0,09/20/2022,"19,261.0"
1,09/19/2022,"19,544.5"
2,09/18/2022,"19,424.0"
3,09/17/2022,"20,127.0"
4,09/16/2022,"19,809.9"
5,09/15/2022,"19,717.0"
6,09/14/2022,"20,231.0"
7,09/13/2022,"20,181.0"
8,09/12/2022,"22,395.0"
9,09/11/2022,"21,826.0"
10,09/10/2022,"21,648.0"
11,09/09/2022,"21,375.0"
12,09/08/2022,"19,322.0"
13,09/07/2022,"19,279.5"
14,09/06/2022,"18,790.0"
15,09/05/2022,"19,788.0"
16,09/04/2022,"20,002.0"
17,09/03/2022,"19,835.0"
18,09/02/2022,"19,973.0"
19,09/01/2022,"20,134.0"
20,08/31/2022,"20,058.0"
21,08/30/2022,"19,812.0"
22,08/29/2022,"20,308.0"
23,08/28/2022,"19,557.8"
24,08/27/2022,"20,036.0"
25,08/26/2022,"20,257.9"
26,08/25/2022,"21,563.1"
27,08/24/2022,"21,365.6"
28,08/23/2022,"21,527.0"
29,08/22/2022,"21,395.0"
