"Ngày","Giá"
"14/12/2021",1770.1799999999998
"13/12/2021",1786.94
"10/12/2021",1782.51
"09/12/2021",1774.46
"08/12/2021",1782.06
"07/12/2021",1784.04
"06/12/2021",1778.1100000000001
"03/12/2021",1783.74
"02/12/2021",1768.6399999999999
"01/12/2021",1782.6599999999999
"30/11/2021",1773.78
"29/11/2021",1785.01
"26/11/2021",1791.81
"25/11/2021",1788.45
"24/11/2021",1788.5
"23/11/2021",1789.73
"22/11/2021",1805.04
"19/11/2021",1844.6
"18/11/2021",1858.46
"17/11/2021",1866.96
"16/11/2021",1849.9099999999999
"15/11/2021",1862.46
"12/11/2021",1864.04
"11/11/2021",1861.52
"10/11/2021",1849.5700000000002
"09/11/2021",1831.48
"08/11/2021",1824.26
"05/11/2021",1816.73
"04/11/2021",1791.7
"03/11/2021",1769.52
"02/11/2021",1787.28
"01/11/2021",1793.05
"29/10/2021",1782.81
"28/10/2021",1798.62
"27/10/2021",1796.69
"26/10/2021",1792.63
"25/10/2021",1807.47
"22/10/2021",1792.48
"21/10/2021",1782.76
"20/10/2021",1781.83
"19/10/2021",1768.87
"18/10/2021",1764.6
"15/10/2021",1767.26
"14/10/2021",1795.56
"13/10/2021",1792.65
"12/10/2021",1759.9299999999998
"11/10/2021",1753.8600000000001
"08/10/2021",1756.67
"07/10/2021",1755.29
"06/10/2021",1762.48
"05/10/2021",1759.96
"04/10/2021",1769.51
"01/10/2021",1760.3600000000001
"30/09/2021",1756.6599999999999
"29/09/2021",1726.1100000000001
"28/09/2021",1733.6799999999998
"27/09/2021",1749.85
"24/09/2021",1749.8600000000001
"23/09/2021",1742.5700000000002
"22/09/2021",1767.9099999999999
"21/09/2021",1774.25
"20/09/2021",1763.88
"17/09/2021",1754.1599999999999
"16/09/2021",1753.3899999999999
"15/09/2021",1792.5900000000001
"14/09/2021",1804.27
"13/09/2021",1793.49
"10/09/2021",1787.3400000000001
"09/09/2021",1794.69
"08/09/2021",1788.9299999999998
"07/09/2021",1794.13
"06/09/2021",1823.1
"03/09/2021",1826.19
"02/09/2021",1809.4
"01/09/2021",1813.6599999999999
"31/08/2021",1813.4299999999998
"30/08/2021",1810.17
"27/08/2021",1816.67
"26/08/2021",1792.1599999999999
"25/08/2021",1790.6799999999998
"24/08/2021",1802.6100000000001
"23/08/2021",1805.2
"20/08/2021",1780.87
"19/08/2021",1780.1799999999998
"18/08/2021",1787.5900000000001
"17/08/2021",1785.96
"16/08/2021",1787.24
"13/08/2021",1779.15
"12/08/2021",1752.44
"11/08/2021",1751.56
"10/08/2021",1728.71
"09/08/2021",1729.46
"06/08/2021",1762.69
"05/08/2021",1804.01
"04/08/2021",1811.4099999999999
"03/08/2021",1809.94
"02/08/2021",1813.3899999999999
"30/07/2021",1813.58
"29/07/2021",1827.95
"28/07/2021",1806.88
"27/07/2021",1798.73
"26/07/2021",1797.27
"23/07/2021",1801.3400000000001
"22/07/2021",1806.69
"21/07/2021",1803.31
"20/07/2021",1810.03
"19/07/2021",1812.3400000000001
"16/07/2021",1810.8899999999999
"15/07/2021",1829.19
"14/07/2021",1827.06
"13/07/2021",1807.44
"12/07/2021",1805.88
"09/07/2021",1807.98
"08/07/2021",1802.56
"07/07/2021",1803.4099999999999
"06/07/2021",1796.69
"05/07/2021",1791.6100000000001
"02/07/2021",1786.79
"01/07/2021",1776.6
"30/06/2021",1769.8
"29/06/2021",1761.0900000000001
"28/06/2021",1778.1799999999998
"25/06/2021",1780.3400000000001
"24/06/2021",1775.1799999999998
"23/06/2021",1778.73
"22/06/2021",1778.51
"21/06/2021",1782.95
"18/06/2021",1763.3400000000001
"17/06/2021",1773.31
"16/06/2021",1811.95
"15/06/2021",1858.69
"14/06/2021",1865.99
"11/06/2021",1876.6399999999999
"10/06/2021",1898.1399999999999
"09/06/2021",1888.3
"08/06/2021",1892.8200000000002
"07/06/2021",1899.0
"04/06/2021",1889.97
"03/06/2021",1870.5700000000002
"02/06/2021",1907.94
"01/06/2021",1900.19
"31/05/2021",1906.3600000000001
"28/05/2021",1902.6399999999999
"27/05/2021",1896.08
"26/05/2021",1896.44
"25/05/2021",1899.26
"24/05/2021",1881.0700000000002
"21/05/2021",1880.3
"20/05/2021",1876.69
"19/05/2021",1869.5700000000002
"18/05/2021",1868.22
"17/05/2021",1866.13
"14/05/2021",1842.19
"13/05/2021",1826.5700000000002
"12/05/2021",1815.44
"11/05/2021",1836.94
"10/05/2021",1835.44
"07/05/2021",1830.48
"06/05/2021",1815.1799999999998
"05/05/2021",1786.44
"04/05/2021",1778.48
"03/05/2021",1792.3600000000001
"30/04/2021",1768.5900000000001
"29/04/2021",1771.24
"28/04/2021",1781.3200000000002
"27/04/2021",1776.69
"26/04/2021",1780.19
"23/04/2021",1777.1799999999998
"22/04/2021",1783.94
"21/04/2021",1793.46
"20/04/2021",1777.25
"19/04/2021",1769.31
"16/04/2021",1776.31
"15/04/2021",1763.21
"14/04/2021",1736.0
"13/04/2021",1743.83
"12/04/2021",1732.51
"09/04/2021",1743.1
