Date,Price
08/13/2017,1.1762
08/06/2017,1.1821
07/30/2017,1.1772
07/23/2017,1.1752
07/16/2017,1.1663
07/09/2017,1.1469
07/02/2017,1.1401
06/25/2017,1.1426
06/18/2017,1.1194
06/11/2017,1.1198
06/04/2017,1.1196
05/28/2017,1.1282
05/21/2017,1.1183
05/14/2017,1.1207
05/07/2017,1.0931
04/30/2017,1.0998
04/23/2017,1.0897
04/16/2017,1.0728
04/09/2017,1.0612
04/02/2017,1.059
03/26/2017,1.0652
03/19/2017,1.0799
03/12/2017,1.0738
03/05/2017,1.0672
02/26/2017,1.0623
02/19/2017,1.0563
02/12/2017,1.0614
02/05/2017,1.0641
01/29/2017,1.0784
01/22/2017,1.0699
01/15/2017,1.0703
01/08/2017,1.0644
01/01/2017,1.0533
